gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
ESPORTSTMNT01_2696199,complete,,CBLOL,2022,Split 1,0,2022-01-23 16:53:17,1.0,12.01,100,Blue,team,,,RED Canids,oe:team:67169969ecc058b307edfa9c6b7a3c0,,Thresh,Viktor,Corki,Zoe,Jax,2351,1,20,13,42,20,13,2.0,0.0,0.0,0.0,0.0,,,,0.5104,0.8422,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,6.0,0.0,0.0,3.0,9.0,1.0,1.0,95085.0,2426.6695,,2996.9375,2528.8813,130.0,3.3177,52.0,1.3271,52.0,342.0,8.7282,71939.0,46584.0,1188.8728,,64610.0,0.0307233,,971.0,275.0,,,31.7992,16084.0,18296.0,301.0,15977.0,17686.0,313.0,107.0,610.0,-12.0,3.0,6.0,2.0,2.0,2.0,3.0,24029.0,28693.0,473.0,25539.0,28932.0,504.0,-1510.0,-239.0,-31.0,5.0,10.0,4.0,4.0,5.0,5.0
ESPORTSTMNT01_2696199,complete,,CBLOL,2022,Split 1,0,2022-01-23 16:53:17,1.0,12.01,200,Red,team,,,LOUD,oe:team:658a021a796aa5501503220adb38cf4,,Gwen,Lee Sin,Diana,Camille,Jarvan IV,2351,0,13,20,24,13,20,1.0,0.0,0.0,0.0,1.0,,,,0.3318,0.8422,0.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,7.0,1.0,1.0,9.0,3.0,1.0,1.0,82509.0,2105.7167,,3180.0255,2338.5963,127.0,3.2412,65.0,1.6589,60.0,304.0,7.7584,65014.0,39659.0,1012.1395,,62655.0,-0.0307233,,930.0,249.0,,,30.0893,15977.0,17686.0,313.0,16084.0,18296.0,301.0,-107.0,-610.0,12.0,2.0,2.0,3.0,3.0,6.0,2.0,25539.0,28932.0,504.0,24029.0,28693.0,473.0,1510.0,239.0,31.0,4.0,5.0,5.0,5.0,10.0,4.0
ESPORTSTMNT01_2696249,complete,,CBLOL,2022,Split 1,0,2022-01-23 18:05:53,1.0,12.01,100,Blue,team,,,INTZ,oe:team:bcb21457414eb9be1d27489ff7e8e59,,Kai'Sa,Ezreal,Tryndamere,Jayce,Xin Zhao,2748,0,15,21,41,15,21,1.0,1.0,0.0,0.0,0.0,,,,0.3275,0.786,0.0,2.0,4.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,11.0,9.0,1.0,1.0,3.0,3.0,3.0,1.0,119389.0,2606.7467,,3052.8166,3230.1092,170.0,3.7118,57.0,1.2445,67.0,372.0,8.1223,81381.0,51977.0,1134.869,,80755.0,0.0621808,,1104.0,298.0,,,30.6114,15065.0,17699.0,336.0,15191.0,17188.0,304.0,-126.0,511.0,32.0,0.0,0.0,2.0,2.0,5.0,0.0,24136.0,29323.0,536.0,23287.0,28045.0,504.0,849.0,1278.0,32.0,2.0,5.0,2.0,2.0,5.0,2.0
ESPORTSTMNT01_2696249,complete,,CBLOL,2022,Split 1,0,2022-01-23 18:05:53,1.0,12.01,200,Red,team,,,Netshoes Miners,oe:team:8b76a6be17ca3ef99e562b7deb8a3ee,,Twisted Fate,Jinx,Caitlyn,Gwen,Renekton,2748,1,21,15,50,21,15,3.0,1.0,1.0,0.0,1.0,,,,0.4585,0.786,1.0,4.0,2.0,4.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,9.0,11.0,0.0,0.0,3.0,3.0,1.0,3.0,104718.0,2286.4192,,3374.6943,3379.5197,154.0,3.3624,86.0,1.8777,75.0,383.0,8.3624,82072.0,52668.0,1149.9563,,75885.0,-0.0621808,,1236.0,217.0,,,31.7249,15191.0,17188.0,304.0,15065.0,17699.0,336.0,126.0,-511.0,-32.0,2.0,5.0,0.0,0.0,0.0,2.0,23287.0,28045.0,504.0,24136.0,29323.0,536.0,-849.0,-1278.0,-32.0,2.0,5.0,2.0,2.0,5.0,2.0
ESPORTSTMNT01_2696303,complete,,CBLOL,2022,Split 1,0,2022-01-23 19:29:23,1.0,12.01,100,Blue,team,,,Flamengo Esports,oe:team:5ef087125f8255546c01970122b3cec,,Renekton,Tryndamere,Sylas,Lux,Thresh,2021,0,11,20,20,11,20,1.0,0.0,0.0,0.0,1.0,,,,0.3266,0.9203,1.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,3.0,8.0,0.0,0.0,4.0,4.0,0.0,2.0,55151.0,1637.338,,2518.2484,1885.7397,113.0,3.3548,34.0,1.0094,59.0,193.0,5.7298,57061.0,35066.0,1041.049,,57405.0,0.0077821,,880.0,181.0,,,31.4993,15056.0,18826.0,336.0,14704.0,18214.0,329.0,352.0,612.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,22856.0,29419.0,528.0,24091.0,30950.0,551.0,-1235.0,-1531.0,-23.0,1.0,0.0,1.0,1.0,2.0,1.0
ESPORTSTMNT01_2696303,complete,,CBLOL,2022,Split 1,0,2022-01-23 19:29:23,1.0,12.01,200,Red,team,,,FURIA,oe:team:40084525160457267265923de195e09,,Lee Sin,Corki,Twisted Fate,Jayce,Nautilus,2021,1,20,11,54,20,11,4.0,0.0,0.0,0.0,0.0,,,,0.5938,0.9203,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,8.0,3.0,1.0,1.0,4.0,4.0,2.0,0.0,62921.0,1868.0158,,2675.6853,1701.2865,119.0,3.5329,67.0,1.9891,59.0,338.0,10.0346,63007.0,41012.0,1217.5755,,56960.0,-0.0077821,,857.0,226.0,,,32.1524,14704.0,18214.0,329.0,15056.0,18826.0,336.0,-352.0,-612.0,-7.0,0.0,0.0,1.0,1.0,0.0,0.0,24091.0,30950.0,551.0,22856.0,29419.0,528.0,1235.0,1531.0,23.0,1.0,2.0,1.0,1.0,0.0,1.0
ESPORTSTMNT01_2697844,complete,,CBLOL,2022,Split 1,0,2022-01-27 19:45:23,1.0,12.01,100,Blue,team,,,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,,Gwen,Viktor,Caitlyn,Kennen,Jinx,1543,1,20,5,51,20,5,3.0,1.0,0.0,0.0,1.0,,,,0.7777,0.9721,1.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,11.0,2.0,1.0,1.0,6.0,2.0,3.0,0.0,68926.0,2680.2074,,2805.4569,2285.4828,72.0,2.7997,28.0,1.0888,35.0,170.0,6.6105,53661.0,36542.0,1420.9462,,50070.0,0.279925,,705.0,185.0,,,34.6079,16281.0,17793.0,315.0,15477.0,17262.0,302.0,804.0,531.0,13.0,4.0,8.0,3.0,3.0,2.0,4.0,25249.0,29267.0,536.0,23060.0,28785.0,506.0,2189.0,482.0,30.0,5.0,10.0,3.0,3.0,2.0,5.0
ESPORTSTMNT01_2697844,complete,,CBLOL,2022,Split 1,0,2022-01-27 19:45:23,1.0,12.01,200,Red,team,,,Liberty,oe:team:84e1da9e55480128662cfdfe79cb892,,Lee Sin,Thresh,Jayce,Rakan,Braum,1543,0,5,20,4,5,20,0.0,0.0,0.0,0.0,0.0,,,,0.1944,0.9721,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,11.0,0.0,0.0,2.0,6.0,0.0,3.0,40045.0,1557.1614,,3393.558,2630.3176,60.0,2.3331,24.0,0.9332,26.0,121.0,4.7051,39020.0,21901.0,851.6267,,37775.0,-0.279925,,637.0,136.0,,,30.0583,15477.0,17262.0,302.0,16281.0,17793.0,315.0,-804.0,-531.0,-13.0,3.0,2.0,4.0,4.0,8.0,3.0,23060.0,28785.0,506.0,25249.0,29267.0,536.0,-2189.0,-482.0,-30.0,3.0,2.0,5.0,5.0,10.0,3.0
ESPORTSTMNT01_2697879,complete,,CBLOL,2022,Split 1,0,2022-01-27 20:50:17,1.0,12.01,100,Blue,team,,,paiN Gaming,oe:team:61450737f7b683db4da7b3e0bf0dced,,Caitlyn,Jayce,Viktor,Zoe,Syndra,1889,0,8,22,16,8,22,1.0,0.0,0.0,0.0,1.0,,,,0.2541,0.9529,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,7.0,1.0,0.0,2.0,3.0,0.0,1.0,51047.0,1621.3976,,2908.0466,1731.7734,105.0,3.3351,38.0,1.207,46.0,229.0,7.2737,50724.0,30074.0,955.2356,,49215.0,-0.031892,,811.0,182.0,,,31.5405,15498.0,17501.0,302.0,15982.0,17372.0,301.0,-484.0,129.0,1.0,3.0,8.0,5.0,5.0,11.0,3.0,23442.0,29344.0,517.0,24370.0,29590.0,521.0,-928.0,-246.0,-4.0,3.0,8.0,5.0,5.0,11.0,3.0
ESPORTSTMNT01_2697879,complete,,CBLOL,2022,Split 1,0,2022-01-27 20:50:17,1.0,12.01,200,Red,team,,,KaBuM! e-Sports,oe:team:9dced510f02f8586ee7501922484ac0,,Renekton,Corki,Twisted Fate,Jhin,Ziggs,1889,1,22,8,50,22,8,3.0,0.0,0.0,0.0,0.0,,,,0.6988,0.9529,1.0,5.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.0,3.0,0.0,1.0,3.0,2.0,1.0,0.0,66609.0,2115.6908,,2464.6056,2280.6035,102.0,3.2398,47.0,1.4929,42.0,226.0,7.1784,60342.0,39692.0,1260.7305,,50810.0,0.031892,,820.0,208.0,,,32.6522,15982.0,17372.0,301.0,15498.0,17501.0,302.0,484.0,-129.0,-1.0,5.0,11.0,3.0,3.0,8.0,5.0,24370.0,29590.0,521.0,23442.0,29344.0,517.0,928.0,246.0,4.0,5.0,11.0,3.0,3.0,8.0,5.0
